city_name,Population
Kipnuk,
Garden City,30206
Spokane,229205
Wilmington,115770
Iron Mountain,18568
Marathon,9591
Point Hope,
Pierre,14803
Monroe,115462
Rock Springs,26710
Port Angeles,23865
Greenville,467894
Rota,
Gary,76008
Sault Ste. Marie,12637
Cedar City,36592
Cordova,
Midland,144247
Des Moines,213826
Crescent City,15886
Hancock,
Bishop,9630
Flint,335354
Yakima,133233
Lake Havasu City,55341
Homer,5697
Aberdeen,189364
Pellston,
Newport,15033
Bemidji,16733
Alpena,13597
Rhinelander,8738
Scottsbluff,25662
Key West,32820
Lanai,
Klamath Falls,42463
Niagara Falls,48460
Pilot Station,
Marquette,26029
Wake Island,
Christiansted,
Flagstaff,78628
Pocatello,71020
Bakersfield,405280
Redding,120270
Kalispell,37024
El Centro,112145
Birmingham,200375
Thief River Falls,9156
Peoria,191997
Duluth,120101
Santa Maria,109782
Kona,
Rapid City,88979
New Bern,50617
Myrtle Beach,260487
Visalia,141771
Idaho Falls,97548
Kapalua,
Pago Pago,12576
Red Dog,
Newburgh,28363
Stockton,320976
Tucson,542638
Galbraith Lake,
Soldotna,7304
Twin Hills,
Seldovia,
Chignik,
Chignik Bay,
Grayling,
Port Graham,
Birch Creek,
Tununak,
Chignik Lagoon,
Koyukuk,
Port Armstrong,
Burlington,127374
Pilot Point,
Perryville,8660
Manley Hot Springs,
Oxnard,389792
Venice,270816
Beverly,41816
Bridgeport,147717
Portsmouth,442252
Westhampton,
Norwood,19870
Alliance,31758
Titusville,57497
Aurora,386773
East Hampton,12890
Bar Harbor,5356
Marshfield,25648
Chatham,12624
Concord,125286
Lake Placid,16683
Princeton,31822
Penn Yan,6529
Hawthorne,87854
Bermuda Dunes,7243
Walterboro,9013
Latrobe,7949
Zephyrhills,76416
Heber,23923
Pasco,73013
Stafford,0
Augusta,389383
Thermal,
Broomfield,68341
Amarillo,200526
Tatalina,
Shageluk,
Healy,
Ugashik,
False Pass,
Hughes,
Point Lay,
Wainwright,
Kaltag,
Vero Beach,16919
Gustavus,
Springfield,169177
Port Heiden,
Plainville,17805
Harrison,17643
Hot Springs,57819
Newport,15033
Punta Gorda,7748
East Farmingdale,6222
Lebanon-Hanover,
Lawrence,80162
Trenton,296869
Camarillo,74682
Quincy,94166
Plainview,26141
Valparaiso,33376
St. Petersburg,259266
New Stuyahok,
Valdez,11441
Stevens Village,
Igiugig,
Chicken,
Arctic Village,
Togiak,
Ekwok,
Mekoryuk,
Hana,
Chicopee Falls,
New Bedford,149528
Truckee,12418
Ocala,164712
Boca Raton,98150
Leesburg,148161
Mammoth Lakes,7598
Greenville,467894
Islip,335302
Haines,
Central,28984
Nelson Lagoon,
Merced,144117
Tinian,
Marion,45324
Middletown,57973
Rutland,18571
Gaithersburg,68710
Saranac Lake,7522
Akun,
Venetie,
Parkersburg,64253
Coldfoot,
Belfast,450406
Pompano Beach,111957
Brooksville,8147
Lancaster,173094
Muncie,88688
Cape Newenham,
Port Alexander,
Klawock,
Marco Island,17904
Atqasuk,
Beckley,59629
Clifton,86607
Mountain View,81438
Napa,87032
Green Bay,208625
Utopia,
Lake Minchumina,
Vernal,19613
Las Vegas,646794
Tenakee,
Staunton,58470
Koliganek,
San Carlos,77192
Glendale,248949
Tin City,
Pelican,
Kake,
Victorville,134638
Egegik,
Diomede Island,
Nikolski,
Atka,
West Palm Beach,117507
Nuiqsut,
Cape Romanzof,
Nanwalek,
Ogdensburg,10893
Prospect Creek,
Chadron,5324
Levelock,
Macon,152663
King Cove,
Circle,
Greenville,467894
Jonesboro,73788
Killeen,153735
Devils Lake,7602
Pueblo,111899
Athens,3242000
Blacksburg,92573
Page,6946
Bristol,553528
Culebra,
Bloomington,134892
Vieques,
Bullhead City,49531
Skagway,
Jamestown,41236
Eagle Nest,
Clarksburg,41453
Lafayette,121455
Columbus,906418
Kamuela,
Eau Claire,107068
Grand Forks,66159
Gulfport,221348
Clarks Point,
Safford,19302
Kalamazoo,214083
Asheville,309250
Bettles,
Boulder City,14741
Taos,13571
Atlantic City,241363
Moline,42231
La Crosse,101886
Belleville,43990
Akron,190146
Fayetteville,209170
DuBois,11378
Dubuque,68573
Carlsbad,114924
Manokotak,
Las Cruces,111698
Silver City,11882
Ironwood,6582
Angoon,
Kalaupapa,
Glendive,6719
Canyon,15464
Springfield,169177
Hibbing,11389
Brainerd,19574
St. Cloud,114225
Williamsport,54389
Morgantown,72453
Jackson,152997
Wolf Point,
Glasgow,1160000
Helena,50227
Havre,10148
Cortez,8603
Augusta,389383
Lewisburg,5712
Llano,
Rockland,17849
Concord,125286
Massena,10673
Muskegon,160142
Moab,7164
Fort Leonard Wood,16307
Worcester,205056
Westerly,22626
Block Island,
Clovis,120770
Sidney,21319
Telluride,
Pendleton,17282
Show Low,10837
Mason City,26457
Johnstown,64615
Muscle Shoals,14022
Charleston,616085
Fort Dodge,24223
Wichita Falls,99617
Ponce,120295
Dodge City,27696
Liberal,19636
Mayaguez,64624
International Falls,6581
Salina,46782
Altoona,76096
Butte,30628
Montgomery,200041
Prescott,42731
Joplin,86298
Decatur,23832
Alamosa,10963
Victoria,33576
Pullman,33276
Hobbs,40614
Elko,21178
Binghamton,150747
Elmira,64664
Ogden,573632
Hattiesburg,81036
Sioux City,106279
Lewiston,58796
Salisbury,106034
Laramie,33508
Hays,21525
Florence,1500000
Meridian,119443
Jefferson,21440
Riverton,43344
Watertown,54980
Sheridan,19234
Beaumont,148954
Longview,100196
Cheyenne,78728
Cody,9696
Gillette,34378
Texarkana,80145
Ithaca,55439
Walla Walla,57779
Jacksonville,1156291
Lawton,91383
Brunswick,54017
Hilton,5855
Saginaw,119336
Tyler,106272
Valdosta,79294
Roswell,94786
Wenatchee,71512
Fort Smith,125562
